unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1498557540,2017-06-27 09:59:00,BTC/USD,2390.43,2390.43,2381.30,2385.00,10.41539555,24840.71838675
1498553940,2017-06-27 08:59:00,BTC/USD,2379.97,2379.97,2376.78,2376.78,0.18860600,448.27496868000003
1498550340,2017-06-27 07:59:00,BTC/USD,2374.93,2375.40,2374.86,2374.86,8.79977192,20898.2263419312
1498546740,2017-06-27 06:59:00,BTC/USD,2409.11,2415.11,2409.11,2413.38,15.00765543,36219.1754616534
1498543140,2017-06-27 05:59:00,BTC/USD,2448.60,2448.60,2448.60,2448.60,0.20571750,503.71987049999996
1498539540,2017-06-27 04:59:00,BTC/USD,2434.92,2434.92,2431.00,2431.02,2.88515700,7013.87437014
1498535940,2017-06-27 03:59:00,BTC/USD,2444.00,2444.47,2443.91,2443.91,0.07048691,172.2636642181
1498532340,2017-06-27 02:59:00,BTC/USD,2464.36,2464.90,2462.78,2462.78,7.14756627,17602.883258430604
1498528740,2017-06-27 01:59:00,BTC/USD,2440.00,2440.00,2440.00,2440.00,0.35297950,861.26998
1498525140,2017-06-27 00:59:00,BTC/USD,2407.73,2414.29,2407.73,2414.29,12.26849264,29619.6990958256
1498521540,2017-06-26 23:59:00,BTC/USD,2415.00,2421.57,2410.76,2421.22,10.56388173,25577.4817223106
1498517940,2017-06-26 22:59:00,BTC/USD,2425.02,2426.52,2425.00,2425.25,29.74838446,72147.269411615
1498514340,2017-06-26 21:59:00,BTC/USD,2409.32,2409.32,2400.00,2404.81,36.13467900,86897.03740598999
1498510740,2017-06-26 20:59:00,BTC/USD,2370.01,2376.14,2370.00,2374.87,8.98446011,21336.9247814357
1498507140,2017-06-26 19:59:00,BTC/USD,2350.19,2350.19,2345.05,2345.05,2.16459395,5076.0810424475
1498503540,2017-06-26 18:59:00,BTC/USD,2349.97,2353.63,2348.00,2353.00,56.44385481,132812.39036793
1498499940,2017-06-26 17:59:00,BTC/USD,2393.03,2394.98,2381.75,2392.61,18.94123697,45318.9929867917
1498496340,2017-06-26 16:59:00,BTC/USD,2422.66,2424.08,2410.01,2423.79,7.95249455,19275.1767653445
1498492740,2017-06-26 15:59:00,BTC/USD,2423.00,2423.20,2420.00,2420.30,6.44301185,15594.021580555001
1498489140,2017-06-26 14:59:00,BTC/USD,2465.82,2470.21,2465.01,2465.01,24.60689594,60656.24456105941
1498485540,2017-06-26 13:59:00,BTC/USD,2492.61,2499.94,2488.03,2488.03,18.88256424,46980.38630604721
1498481940,2017-06-26 12:59:00,BTC/USD,2522.81,2522.81,2522.81,2522.81,4.67890197,11803.9806789357
1498478340,2017-06-26 11:59:00,BTC/USD,2500.99,2500.99,2500.00,2500.00,8.99951720,22498.792999999998
1498474740,2017-06-26 10:59:00,BTC/USD,2526.94,2539.23,2519.70,2539.23,27.63855024,70180.63592591521
1498471140,2017-06-26 09:59:00,BTC/USD,2532.00,2534.00,2524.62,2533.87,38.91859438,98614.6587416506
1498467540,2017-06-26 08:59:00,BTC/USD,2439.00,2439.00,2436.40,2436.40,2.12889325,5186.8355143
1498463940,2017-06-26 07:59:00,BTC/USD,2492.28,2495.00,2488.86,2495.00,10.46469171,26109.405816450002
1498460340,2017-06-26 06:59:00,BTC/USD,2473.17,2473.17,2473.17,2473.17,0.56411520,1395.152789184
1498456740,2017-06-26 05:59:00,BTC/USD,2509.25,2512.36,2509.00,2512.36,1.61204588,4050.0395870768
1498453140,2017-06-26 04:59:00,BTC/USD,2511.13,2511.14,2508.00,2508.00,1.35000000,3385.8
1498449540,2017-06-26 03:59:00,BTC/USD,2545.00,2549.40,2545.00,2549.22,1.80738928,4607.432900361599
1498445940,2017-06-26 02:59:00,BTC/USD,2543.44,2543.44,2543.44,2543.44,1.00500000,2556.1571999999996
1498442340,2017-06-26 01:59:00,BTC/USD,2541.69,2541.80,2538.00,2540.11,10.52630742,26737.978740616203
1498438740,2017-06-26 00:59:00,BTC/USD,2513.99,2514.41,2508.00,2512.68,18.82418525,47299.15379396999
1498435140,2017-06-25 23:59:00,BTC/USD,2502.03,2502.03,2502.03,2502.03,0.00000000,0.0
1498431540,2017-06-25 22:59:00,BTC/USD,2483.00,2483.38,2483.00,2483.38,0.23476941,583.0216574058
1498427940,2017-06-25 21:59:00,BTC/USD,2481.99,2489.47,2480.14,2489.31,14.53340323,36178.1459944713
1498424340,2017-06-25 20:59:00,BTC/USD,2493.87,2493.87,2492.81,2493.87,5.56185985,13870.5554241195
1498420740,2017-06-25 19:59:00,BTC/USD,2489.39,2496.64,2489.39,2496.64,66.16103664,165180.2905168896
1498417140,2017-06-25 18:59:00,BTC/USD,2517.10,2529.19,2515.44,2529.19,19.09057924,48283.702108015605
1498413540,2017-06-25 17:59:00,BTC/USD,2598.13,2598.56,2598.13,2598.13,0.28457717,739.3684826921
1498409940,2017-06-25 16:59:00,BTC/USD,2579.00,2585.42,2574.13,2575.70,10.37383901,26719.897138056996
1498406340,2017-06-25 15:59:00,BTC/USD,2562.31,2562.31,2562.31,2562.31,0.00000000,0.0
1498402740,2017-06-25 14:59:00,BTC/USD,2589.88,2590.00,2583.69,2583.69,7.62720559,19706.334810827102
1498399140,2017-06-25 13:59:00,BTC/USD,2613.99,2614.00,2613.99,2613.99,4.38001549,11449.316690705098
1498395540,2017-06-25 12:59:00,BTC/USD,2609.86,2609.86,2609.86,2609.86,0.01880450,49.077112369999995
1498391940,2017-06-25 11:59:00,BTC/USD,2624.89,2624.97,2624.73,2624.73,0.22693221,595.6357795533
1498388340,2017-06-25 10:59:00,BTC/USD,2595.44,2595.44,2591.95,2595.42,1.34512486,3491.1639641412003
1498384740,2017-06-25 09:59:00,BTC/USD,2610.00,2615.74,2601.57,2601.62,11.29589000,29387.6133418
1498381140,2017-06-25 08:59:00,BTC/USD,2605.99,2611.58,2605.99,2611.00,102.87658188,268610.75528868
1498377540,2017-06-25 07:59:00,BTC/USD,2571.00,2571.00,2570.61,2570.63,6.49025366,16684.0407660058
1498373940,2017-06-25 06:59:00,BTC/USD,2584.80,2584.81,2584.80,2584.81,0.02948999,76.2260210519
1498370340,2017-06-25 05:59:00,BTC/USD,2576.95,2576.95,2572.03,2572.03,0.48504046,1247.5386143338
1498366740,2017-06-25 04:59:00,BTC/USD,2570.00,2570.00,2569.50,2570.00,2.09413084,5381.9162588
1498363140,2017-06-25 03:59:00,BTC/USD,2541.98,2541.98,2541.98,2541.98,0.21814924,554.5310050952
1498359540,2017-06-25 02:59:00,BTC/USD,2548.86,2552.00,2548.86,2550.55,3.79959596,9691.059475778
1498355940,2017-06-25 01:59:00,BTC/USD,2540.00,2542.16,2540.00,2542.14,0.70688088,1796.9901602832
1498352340,2017-06-25 00:59:00,BTC/USD,2540.31,2540.31,2534.00,2539.35,8.01965068,20364.699954257998
1498348740,2017-06-24 23:59:00,BTC/USD,2557.66,2557.66,2556.40,2557.66,2.48936712,6366.954708139199
1498345140,2017-06-24 22:59:00,BTC/USD,2551.35,2553.73,2551.35,2553.73,14.26892107,36438.971804091096
1498341540,2017-06-24 21:59:00,BTC/USD,2581.50,2581.80,2580.10,2580.10,4.34453129,11209.325181328999
1498337940,2017-06-24 20:59:00,BTC/USD,2568.99,2568.99,2567.00,2567.00,0.96032227,2465.1472670900002
